,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,SUM
'fore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I,0,0,0,0,0,0,0,0,0,1,0,4,0,7,3,0,1,1,1,0,18
a,1,1,0,1,1,0,1,0,2,0,0,0,2,0,1,1,2,2,0,4,19
a-doting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
abundance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
abuse,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acceptable,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
acquainted,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
adding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
addition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
adore,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
after,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
again,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
against,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,4
age,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,6
ah,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
alive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
all,0,2,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,1,1,1,11
all-eating,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
allow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
alone,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
amazeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
among,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
an,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,5
and,3,4,3,1,4,1,2,2,2,1,6,7,2,6,3,3,5,5,5,4,69
annoy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
another,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5
answer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
antique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
any,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
april,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
are,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
art,1,1,1,0,0,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,10
as,1,0,0,0,0,0,0,0,0,1,2,2,0,1,2,0,1,1,1,2,14
asked,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
astronomy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
at,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2
attending,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
audit,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
away,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
back,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareness,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
barren,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,3
barrenly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
be,1,2,2,3,0,5,0,0,1,3,0,0,0,0,0,0,2,0,0,1,20
bear,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,4
bear'st,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
beard,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
beauteous,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
beauties,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
beauty,1,4,0,2,3,1,1,0,1,1,1,1,1,2,0,0,1,0,1,0,21
before,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
beguile,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
behind,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
behold,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
being,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
believe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
beloved,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
bequest,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bereft,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
besiege,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
best,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
bestow'st,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
bier,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
blessed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
blood,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3
bloody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
blunt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
borne,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
bosom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
bounteous,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
bounty,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
brag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
brave,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3
breathe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
breed,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
brief,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
bright,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
bristly,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
brood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
brow,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
bud,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
buds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
buriest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
burn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
burning,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
but,2,0,1,1,2,0,1,1,2,1,0,0,2,2,2,1,2,1,1,2,24
by,2,1,0,0,0,0,0,2,1,0,0,0,0,1,1,1,0,1,0,2,12
call,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
calls,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
can,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,0,5
canopy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
canst,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
car,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
carve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
carved,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
cease,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
chance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
change,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,4
changing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
checked,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
cheered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
cherish,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
chide,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
chief,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
child,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
children,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
churl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
climbed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
clock,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
cold,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3
come,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
coming,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
comment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
commits,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
compare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
complexion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
conceit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
concord,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
confounds,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
conquest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
consider,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
conspire,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
constant,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
consum'st,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
content,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
contracted,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
controlling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
convert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
converted,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
convertest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
copy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
could,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
couldst,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
count,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
counterfeit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
course,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
created,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
creatures,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
crime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cruel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
curls,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
darling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
date,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2
day,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,5
days,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dear,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
dearths,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
death,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4
debateth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
decay,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,4
decease,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
deceive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
declines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
decrease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
deep,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
deface,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
defeated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
defence,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
delights,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
deny,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
depart,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
departest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
derive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
deserts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
deserv'd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
desire,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
despite,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
destroys,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
determination,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
devour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
devouring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
did,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
die,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,5
dies,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
diest,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dig,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dimmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
disdains,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
distillation,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
distilled,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
do,0,0,0,0,0,1,0,3,0,0,0,3,0,1,0,1,0,1,3,0,13
doom,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
dost,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
doth,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5
draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
drawn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
due,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
duteous,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
dwell,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
each,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,4
ear,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
earth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
earthly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
eat,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
effect,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
else,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3
end,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3
endowed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
engraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
enjoys,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ere,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
erst,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
eternal,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3
even,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
ever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
every,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5
evident,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
evil,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
excel,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
excuse,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
executor,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eye,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,5
eyes,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,9
face,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
faces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
fade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
fading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
fair,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,0,9
fairer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
fairest,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fairly,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fall,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
famine,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fast,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3
father,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
fear,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
featureless,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
feeble,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
feed'st,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
feel'st,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
field,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
filled,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
find,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
first,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
flame,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fleet'st,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
flowers,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
foe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
folly,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
fond,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
for,0,0,1,1,1,3,0,0,2,4,2,0,0,0,1,0,0,0,1,2,18
forbid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
forbidden,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
form,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3
forsake,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
fortify,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
fortune,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
forty,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
frame,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
frank,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
free,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fresh,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
from,1,0,0,0,0,0,3,0,0,0,2,1,0,3,1,0,0,1,1,0,13
frost,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fuel,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gardens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
gaudy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gave,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
gaze,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gazed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gazeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
gentle,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
get,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gift,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
gilding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
girded,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
give,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3
given,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
gives,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
glad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
gladly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
